,Z1,Z2,Z3,Z4,Z5,Z6,Z7,Z8,Z9,Z10,Z11,Z12,Z13,Z14,Z15,Z16,Z17,Z18,Z19,Z20
30,0.084717125,-0.2831486,0.25361076,-0.053352907,-0.7350045,-0.1296946,-0.3502111,-0.5063195,-0.025343036,-0.33320075,0.22883092,0.31433925,0.4502141,0.026583787,-0.21824786,0.19174649,-0.21211882,-0.6358131,-0.005130042,-0.6524282
31,0.63698184,-0.11957594,-0.57666105,-0.7500922,-0.054739244,-0.08716377,0.421874,-0.3731584,0.13648486,0.76429164,-0.08182989,0.38935813,0.586818,-0.06838209,0.203832,-0.053156383,0.13001353,-0.25289813,-0.06452999,0.13610134
32,0.21257648,0.2709817,-0.3495253,-0.11625482,0.5546251,0.19397846,-0.020854494,0.1514978,0.42928448,-0.37168968,-0.30835846,0.26949188,-0.2541091,-0.53168064,-0.30901217,-0.074037075,-0.23183379,-0.05135676,0.4254222,0.43062434
33,-0.762629,-0.14532024,-0.16010879,-0.113085836,0.5701631,0.31417868,0.13709319,0.3286232,-0.027090102,0.025805105,-0.29962,0.63495487,-0.0622828,-0.8224491,0.10526681,0.2860497,0.6777176,-0.1272733,0.7488519,-0.42898473
34,0.06583143,-0.016174586,-0.15597862,-0.3546236,-0.42844015,0.12476578,0.0010463053,0.0836488,0.24047734,-0.24737228,-0.084256254,0.13024637,-0.19674763,-0.34146416,-0.65700597,0.2598988,0.44732958,0.28202376,-0.2978832,0.2030912
35,0.56834626,-0.30087003,-0.49809852,-0.40357095,0.7603661,0.31622103,-0.19545253,-0.11147675,0.328243,-0.17544995,0.31733322,0.267412,-0.17640343,0.499287,0.35413486,-0.43847626,-0.16406173,0.44394553,0.00458196,0.7045177
36,-0.2171528,0.4390462,0.69970334,-0.23010878,0.0631886,-0.5533808,0.25636944,-0.12123251,0.24994808,0.45394284,-0.40489116,0.5379649,0.6571767,-0.21118043,0.18789105,0.34043783,-0.8062616,0.13764948,0.47636896,-0.23290372
37,0.49395365,0.6387002,-0.18754302,-0.47783738,0.5911595,0.19639441,0.06399461,0.43968108,-0.57170045,-0.0640446,-0.43200973,0.35140362,-0.051457997,0.12104075,-0.18814759,-0.23863524,0.06699201,0.26047906,0.35258836,-0.09668464
38,-0.17578085,0.43929288,-0.396788,-0.35359508,-0.07168924,0.15758544,-0.76482993,0.10049516,0.33862376,-0.7522499,0.23735331,-0.17424545,-0.5894061,-0.53424263,-0.17865829,0.21412057,0.02010798,0.1486782,-0.33629397,0.6855508
39,0.17443208,0.27599698,0.14280473,-0.4909025,-0.14566484,-0.28026134,0.58026266,0.50165945,0.004526494,0.11286847,-0.7875269,0.25993088,-0.1577237,0.18428162,-0.20488723,-0.030917268,-0.014060862,-0.2601972,-1.0217036,-0.55166256
40,0.38607872,0.50746155,-0.17197926,-0.058746614,-0.42552623,-0.004335406,0.54206055,0.4323441,-0.24365209,0.67726487,-0.99379873,0.50781816,-0.15939713,-0.08089147,-0.21989621,0.089995936,-0.34400475,-0.440728,-0.3716307,0.4087296
41,0.15198803,-0.047079887,-0.03247013,-0.2867681,0.0030938303,-0.34297323,-0.013591092,-0.21507224,-0.21180765,0.9551986,-0.6136258,-0.13179187,-0.009881092,-0.54253834,0.04544772,0.4683685,-0.4379554,0.10394039,0.056939982,0.15088147
42,0.0027142363,0.24152313,0.016117532,0.23036729,-0.34029323,-0.23261708,-0.06735111,0.13029829,0.8519886,-0.057938043,-0.4991517,0.26791114,0.677039,-0.2278966,-0.50689346,0.35416868,-0.10317045,-0.014410173,-0.15720281,0.07523915
43,-0.2743162,0.7295147,0.7309378,0.26523677,-0.11415342,-0.0055774786,-0.29881135,-0.18233971,0.21108378,0.1525083,0.5194436,-0.112000674,-0.16796851,0.76920336,-0.5536259,0.42732805,0.47795615,0.36101863,0.36508054,-0.26377177
44,0.23362385,0.052326877,-0.102120966,0.171038,0.07004307,0.22093742,-0.1602204,0.4569766,-0.85900664,0.19215158,0.0460362,0.26371056,0.0412861,0.19262795,-0.06745478,-0.33761573,0.33495608,-0.10808174,-0.49258173,-0.23534109
45,0.69555193,-0.34555912,-0.077709325,-0.342237,-0.59150994,-0.08984758,0.19110589,-0.14437649,-0.5584499,0.22424555,-0.14346151,-0.019017676,0.3065736,-0.72206116,-0.2763581,-0.93982106,-0.194916,0.30279133,0.28489584,-0.10190787
46,0.6395584,-0.52324116,-0.14952135,0.7907034,-0.4939569,-0.30002797,0.064816564,0.21867833,0.100539796,0.076098084,0.21285544,-0.37689453,-0.33095667,-0.83184326,0.72103703,-0.1323791,-0.2991314,0.37969482,-0.20676713,-0.022463528
47,-0.4426127,0.35146302,-0.03899387,-0.05928814,0.10646998,-0.113994576,0.5007673,0.2614118,0.4860232,0.71298355,0.26967865,0.25760594,0.09101137,-0.13047343,0.31030628,0.22641937,0.2820315,0.061806753,0.1327842,0.30142748
48,-0.25545484,-0.09504802,-0.136589,-0.30349067,-0.042483598,0.30893946,-0.6258041,0.20923832,0.5939574,0.3397553,0.3743584,0.50022995,0.49228874,-0.27188712,0.045440014,-0.703098,0.2879772,0.2725354,0.29254544,-0.3906108
49,-0.24079241,-0.12801369,0.22791447,0.57508254,-0.21526013,0.11894444,0.48653862,-0.18062441,-0.8635264,0.3801783,0.49964458,-0.14432131,0.03555473,0.2761712,0.31147397,-0.52498317,0.4889049,-0.2996862,-0.011685758,0.033705167
50,-0.34090135,-0.5570659,-0.27052748,-0.3890293,-0.220852,-0.38168582,0.22402461,-0.6749946,0.48048812,-0.09935338,0.39028403,-0.47017348,0.3123799,-0.98257285,0.44732332,0.03939419,-0.019176073,0.033477873,-0.25636542,0.21479456
51,0.336486,-0.47554183,-0.56796914,-0.02351001,0.6122022,0.40038034,-0.34989738,0.18177763,-0.1417363,-0.20008127,-0.6757436,0.049003795,-0.54964304,-0.5826927,0.1801362,-0.20555189,-0.24530882,-0.38576186,-0.56513506,-0.13370892
52,0.2065277,-0.307679,-0.06741706,0.26811904,0.1391167,-0.16973862,-0.26315355,0.4861553,-0.04554601,0.5123756,0.34569174,0.07408609,-0.23242016,-0.53709346,0.10207468,0.3880769,0.099080786,0.40716985,0.51503545,0.097155824
53,0.21087383,-0.1443851,-0.27544156,0.49387842,0.5567959,0.19100615,-0.30567762,0.44387573,-0.13619015,0.12853527,-0.19886695,-0.31582007,-0.2679694,-0.05085017,-0.44105688,0.036719423,0.08514798,-0.25450253,0.22853944,0.36304483
54,-0.17311403,-0.46843818,0.052793346,-0.02977371,-0.4050783,-0.36768264,-0.219804,-0.39259267,-0.4909511,0.23070559,0.111775935,-0.3440967,1.1456642,-0.5888798,0.26560795,0.13660786,0.15956666,0.39245892,-0.017231094,-0.078992024
55,-0.28455076,-0.08415734,-0.42679045,0.052185167,-0.36467782,0.49552926,0.27413267,-0.13864172,-0.33739522,0.27288914,-0.7925597,0.28393254,-0.9003771,-0.28081268,0.26535466,0.023334188,0.38795903,-0.5092096,-0.6079245,-0.18833618
56,0.82349217,-0.0034037936,-0.7627779,-0.41113442,-0.102586284,-0.25947675,0.10122409,-0.18920252,-0.5671029,0.17029904,-0.13859819,-0.51695865,-0.20768207,-0.7322357,0.46475318,-0.16980983,-0.13738227,-0.20980163,-0.333878,-0.07212924
57,-0.37300083,0.104799986,0.31293902,0.1259183,-0.5629361,-0.15663287,-0.6943807,-0.34996125,0.1134318,-0.14645495,0.077718936,-0.1516499,0.4970079,-0.4495106,-0.31401482,-0.13665332,-0.47661373,-0.46380523,-0.19725674,-0.71274257
58,-0.28507626,-0.16504498,-0.031304915,-0.15491582,0.37342408,0.020509006,0.44671273,-0.036632948,0.041139025,0.41025177,-0.7951939,0.84748715,0.50781363,-0.3107204,0.271445,0.064725846,-0.12772343,0.5126168,0.5285992,0.37766042
59,0.5944438,-0.04083275,-0.15791327,0.11371589,0.5368637,-0.31264603,0.19090798,-0.0174343,-0.25281167,0.014352179,0.1820481,-0.17832208,0.51697385,0.49192402,0.57311296,-0.12570843,0.043677516,-0.027124166,0.068132356,0.004515363
60,-0.011787986,0.33182278,-0.28800973,-0.073114306,-0.04505452,-0.09755653,0.3442777,0.7033512,0.90548885,-0.12891458,-0.042934567,-0.11728946,0.060194273,-0.5540227,0.10963999,0.13103025,0.2728494,0.08365579,0.2134667,0.2675909
61,-0.009141219,0.052456792,-0.21878846,0.6677792,-0.10336682,0.60056245,0.14948294,-0.5652186,-0.5735523,0.4977158,0.22189817,0.45615596,-0.09593774,-0.018709283,-0.022448419,0.22288318,0.8495263,0.11719332,0.27593142,0.030338112
62,0.30118188,0.008007471,0.018429853,-0.13377877,-0.54046696,-0.3555088,-0.52625626,0.09474439,0.15481818,0.14106952,0.35425162,0.05959498,0.8950284,-0.16912055,-0.39472377,0.26139465,0.19272147,0.49051374,-0.23173875,-0.14362262
63,-0.6637717,0.1950501,-0.009325893,-0.32146043,0.23110421,-0.072745234,-0.5243715,0.12907949,-0.065572426,-0.28763232,0.5420564,-0.2260504,-0.03548731,0.30549553,0.5752523,0.048340905,0.46381235,0.39130157,-0.14146546,0.26575214
64,0.5054229,0.7310678,0.19647096,0.65397674,0.30649838,0.16410756,-0.5013049,0.48937166,0.29914778,0.16441102,0.16968752,0.30261022,-0.461356,0.18924448,-0.34581423,-0.10691971,-0.44838548,0.07339125,-0.58891845,-0.62822664
65,0.17845112,-0.9230897,0.5416982,-0.31895468,-0.6910247,-0.57905173,0.9049433,-0.21729265,-0.3175298,0.111278355,0.25040147,0.03925987,0.364288,0.09931591,0.030218659,0.05700624,-0.050765213,0.17393667,0.2755615,-0.4085895
