,Z1,Z2,Z3,Z4,Z5
216,-0.009890747,0.28919226,-0.07352896,0.08725752,0.15412433
217,0.35885143,0.17635521,0.03462259,0.49738935,-0.23525332
218,-0.0808094,0.24952023,-0.2507032,0.17080057,-0.19871774
219,-0.1667631,-0.32547727,-0.29687536,-0.16535407,0.1532822
220,0.18798934,0.56859285,0.31102675,0.15268967,-0.006676733
221,-0.41489628,0.025901733,0.32439476,0.115747906,-0.13275307
222,-0.36119786,-0.101305865,0.2532507,-0.2511018,-0.075357035
223,-0.5447656,0.16154465,0.31721428,-0.5008969,0.06524771
224,0.109531604,-0.34836817,0.48831096,0.08470666,-0.0888001
225,-0.016859202,-0.54511714,-0.0901697,0.019028028,-0.47884482
226,-0.5766025,-0.090573765,-0.0038338525,-0.38239083,-0.1710271
227,0.19219784,-0.55355716,-0.21904413,0.41906118,-0.034349874
228,0.7003995,0.004493349,-0.26560554,0.052588683,-0.12477244
229,-0.1626262,0.047280625,0.5993674,-0.08589627,-0.014867679
230,0.14896375,0.17892425,-0.25371128,-0.140016,0.43709576
231,-0.44322735,0.13695371,0.21394275,-0.18035178,-0.2710192
232,-0.024290396,-0.7350349,0.2405213,-0.36699286,-0.024237307
233,-0.04218277,0.19389261,0.029842712,0.14797278,0.14398327
234,0.16696957,0.3482239,-0.2742458,-0.17763291,-0.22898851
235,-0.047224212,0.7077756,-0.14177655,0.012784033,0.4368199
236,0.3700751,0.021648904,-0.03963559,0.18557198,-0.7329833
237,0.08406776,-0.04404663,-0.51435566,0.03438228,-0.24096738
238,-0.2687712,0.5362266,0.16679,-0.3861954,0.22484882
239,-0.091902,-0.53749895,-0.42471388,0.028072882,-0.029798077
240,-0.24318133,-0.16418393,0.38874534,-0.16154261,-0.022503123
241,-0.4905692,-0.5423192,0.02008936,-0.21731418,-0.27785322
242,-0.08307276,-0.64976865,0.036312696,-0.25571963,-0.14393345
243,0.5968707,-0.13092236,0.253626,-0.002141977,-0.24772675
244,-0.21199688,0.15772372,-0.15390119,0.20895816,-0.19073126
245,-0.22690105,0.16643102,-0.2331368,-0.347607,-0.100929156
246,-0.48188013,0.15831405,0.45775574,-0.58214945,0.30099192
247,-0.2756937,0.28069413,0.080120414,-0.1192736,0.34370777
248,-0.17009738,-0.111471295,-0.060568202,0.46936646,0.23359166
249,-0.10117192,0.43041033,0.49086693,-0.29620567,0.0037900538
250,-0.06792714,0.5828943,0.52982545,-0.107978135,-0.3758405
251,-0.116640545,-0.0049693678,0.056244686,-0.008082546,-0.10071203
252,0.26190662,0.37537673,0.3545324,-0.28099364,-0.0606758
253,0.3969409,0.47633946,-0.47739133,-0.11129393,-0.037249546
254,0.052286495,0.105980225,-0.19266492,0.5839779,-0.21000694
255,0.41086188,0.49958515,-0.600074,-0.31756344,-0.26199523
256,-0.1324321,-0.5268996,-0.22426787,-0.51031363,0.1560409
257,-0.20793334,-0.31649882,0.19178124,-0.10975972,-0.5902439
258,-0.038867906,0.55988634,-0.19153227,0.48318973,-0.48897398
259,0.02312208,0.20787692,-0.45642307,-0.28710043,0.18642451
260,-0.51043135,-0.21649693,-0.039718214,0.23940125,0.17161903
261,-0.24731714,0.47325137,-0.2955387,-0.14723492,0.2288493
